Sr_No,Date,Startup_Name,IndustryVertical,SubVertical,City,Investors Name,Investment_Type,Amount_in_USD,Remarks
1431,08-08-2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Round,200000,nan
1432,09-08-2016,MobiDent,Healthcare,Dental Protection Solution,Bengaluru,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Round,,nan
1433,09-08-2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Round,,nan
1434,10-08-2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,"Anupam Mittal, Sharad Sharma, Group of 14 investors (undisclosed)",Seed Round,500000,nan
1435,10-08-2016,Bombay Shaving Company,E-Commerce,Men's Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam",Seed Round,600000,nan
1436,11-08-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity Round,7000000,nan
1437,11-08-2016,91springboard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal",Private Equity Round,,nan
1438,11-08-2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowd funding),Seed Round,209000,nan
1439,11-08-2016,Zenoti,SaaS platform,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel",Private Equity Round,15000000,nan
1440,12-08-2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggarwal, Sunil Goyal, Ashish Gupta",Private Equity Round,1500000,nan
1441,12-08-2016,Faircent,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity Round,1500000,nan
1442,12-08-2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital,Private Equity Round,15600000,nan
1443,12-08-2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Group of investors (undisclosed),Seed Round,500000,nan
1444,12-08-2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media, North Base Media",Seed Round,,nan
1445,15-08-2016,Buttercups,E-Commerce,Women Intimate Wear eTailer,Bengaluru,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Round,,nan
1446,16-08-2016,Zappfresh,E-Commerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Round,,nan
1447,16-08-2016,Oyo,Hospitality,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity Round,62000000,nan
1448,16-08-2016,Hike Messenger,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent, Foxconn Technology Group, Tiger Global Management, SoftBank Group, Bharti Enterprises",Private Equity Round,175000000,nan
1449,16-08-2016,Joolz,E-Commerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity Round,500000,nan
1450,16-08-2016,SaleBhai,E-Commerce,Sweets & Dry Fruits & Handicrafts etailer,Ahmedabad,Brand Capital,Private Equity Round,1500000,nan
1451,16-08-2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Investmart Ltd",Seed Round,250000,nan
1452,16-08-2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based High Networth Individuals,Seed Round,,nan
1453,17-08-2016,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal",Seed Round,375000,nan
1454,17-08-2016,ZiPi,Technology,Mobile Chatbot App,Bengaluru,Swan Angel Network,Seed Round,,nan
1455,17-08-2016,Appknox,Technology,Mobile security solutions,Bengaluru,"SeedPlus, Infocomm Investments, Accel RNT Associates",Private Equity Round,675000,nan
1456,17-08-2016,Pikkol,Logistics,Packers & Movers,Bengaluru,Indian Angel Network (IAN),Seed Round,,nan
1457,18-08-2016,Meesho,E-Commerce,Mobile based E-Commerce SAAS platform,Bengaluru,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Round,,nan
1458,18-08-2016,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity Round,,nan
1459,19-08-2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity Round,20000000,nan
1460,19-08-2016,Digio,Technology,Aadhar based Document Signing platform,Bengaluru,Rainmatter,Private Equity Round,375000,nan
1461,19-08-2016,Ziffity,Technology,Full Service E-Commerce Agency,Chennai,Aspire Systems,Private Equity Round,,nan
1462,22-08-2016,Zzungry,Consumer Internet,Food Delivery platform,Bengaluru,"Satish Vasudeva, Madhusudhan Jujare",Seed Round,,nan
1463,22-08-2016,Puro Wellness,healthcare,Organic & Natural Food substitute manufacturer,Mumbai,Torrent Group,Private Equity Round,37000000,nan
1464,22-08-2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners",Private Equity Round,,nan
1465,23-08-2016,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Round,,nan
1466,23-08-2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Round,100000,nan
1467,23-08-2016,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Round,,nan
1468,23-08-2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Round,200000,nan
1469,24-08-2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Round,,nan
1470,24-08-2016,Unacademy,Ed-Tech,Free Interactive education platform,Bengaluru,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity Round,1000000,nan
1471,24-08-2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Round,100000,nan
1472,24-08-2016,Guarented,E-Commerce,Home Furnishing rental marketplace,Bengaluru,Kalaari Capital,Seed Round,500000,nan
1473,24-08-2016,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Round,,nan
1474,24-08-2016,Uber Dreams,E-Commerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Round,500000,nan
1475,24-08-2016,Convegenius,Education Marketplace,Edutainment platform,Noida,Michael & Susan Dell Foundation,Private Equity Round,900000,nan
1476,24-08-2016,Urban Ladder,E-Commerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity Round,3000000,nan
1477,24-08-2016,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bengaluru,"Kunal Shah, Sandeep Tandon, Tracxn",Seed Round,,nan
1478,25-08-2016,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Round,,nan
1479,25-08-2016,Cult,Healthcare,Health and Fitness Centres,Bengaluru,Curefit,Private Equity Round,3000000,nan
1480,25-08-2016,WitWorks,Technology,Consumer IoT Startup,Bengaluru,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Round,,nan
1481,25-08-2016,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Round,,nan
1482,25-08-2016,Zoomcar,Consumer Internet,Self Driven Rental Car Platform,Bengaluru,Ford Smart Mobility Llc,Private Equity Round,24000000,nan
1483,26-08-2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Round,500000,nan
1484,26-08-2016,MobiKwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity Round,40000000,nan
1485,26-08-2016,MyDidi,Consumer Internet,on-demand & hyper-local Cleaning services provider,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Round,550000,nan
1486,26-08-2016,Crownit,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Round,,nan
1487,29-08-2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity Round,3000000,nan
1488,29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity Round,7000000,nan
1489,29-08-2016,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity Round,,nan
1490,29-08-2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity Round,1000000,nan
1491,29-08-2016,Livspace,Consumer Internet,Online portal for Home Design,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Venture Partners",Private Equity Round,15000000,nan
1492,30-08-2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network,Seed Round,149000,nan
1493,30-08-2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta",Seed Round,104000,nan
1494,30-08-2016,Paytm,FinTech,Mobile Wallet & E-Commerce platform,Bengaluru,MediaTek Inc.,Private Equity Round,60000000,nan
1495,30-08-2016,CropIn,Technology,Agriculture Technology Solutions,Bengaluru,Sophia Investment ApS,Private Equity Round,2000000,nan
1496,30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bengaluru,Info Edge (India) Ltd,Private Equity Round,3000000,nan
1497,30-08-2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity Round,,nan
1498,31-08-2016,Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,"IDG Ventures India,Sequoia India, GREE Ventures",Private Equity Round,5300000,nan
1499,31-08-2016,Inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Round,,nan
1500,01-07-2016,Razorpay,Consumer Internet,Online Payment Gateway,Bengaluru,Mastercard,Private Equity Round,,nan
1501,01-07-2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3One4 Capital, Tracxn, Aaruha Technology Fund, Endiya Partners",Seed Round,,nan
1502,01-07-2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Round,500000,nan
1503,01-07-2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia India, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity Round,,nan
1504,02-07-2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,SAIF Partners,Private Equity Round,700000,nan
1505,04-07-2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Round,,nan
1506,04-07-2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"Accel, IDG Ventures India, Kalaari Capital",Private Equity Round,15000000,nan
1507,04-07-2016,Stitchwood,E-Commerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Round,200000,nan
1508,04-07-2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity Round,2000000,nan
1509,04-07-2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Round,,nan
1510,04-07-2016,NeoGrowth Credit,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management, Omidyar Network, Khosla Impact, Aspada Investment",Private Equity Round,16000000,nan
1511,05-07-2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Venture Capital,Private Equity Round,1000000,nan
1512,05-07-2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel, SAIF Partners",Private Equity Round,82000000,nan
1513,05-07-2016,Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,"Sequoia India, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Round,1700000,nan
1514,06-07-2016,Happily Unmarried,E-Commerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity Round,740000,nan
1515,06-07-2016,Don't Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Round,250000,nan
1516,06-07-2016,Wedding Wishlist,Consumer Internet,Wedding Wishlist & Gifts & Registry Creation platform,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Round,297000,nan
1517,07-07-2016,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, Ru-Net Technology Partners, Zodius Technology Fund",Private Equity Round,2000000,nan
1518,07-07-2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network (IAN),Private Equity Round,1000000,nan
1519,07-07-2016,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity Round,,nan
1520,07-07-2016,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Round,,nan
1521,08-07-2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bengaluru,"Alex Chua, Rahul Garg",Seed Round,,nan
1522,08-07-2016,Holachef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity Round,1950000,nan
1523,11-07-2016,Purplle.com,E-Commerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures, Ivycap Ventures Advisors",Private Equity Round,6000000,nan
1524,11-07-2016,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity Round,3500000,nan
1525,11-07-2016,Overcart.com,E-Commerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity Round,3000000,nan
1526,12-07-2016,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia India,Private Equity Round,12250000,nan
1527,12-07-2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs India, Harvard Angels",Seed Round,,nan
1528,12-07-2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bengaluru,"Mumbai Angels Network, Times Internet",Private Equity Round,,nan
1529,12-07-2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Round,,nan
1530,12-07-2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Round,,nan
1531,13-07-2016,YAAP,Consumer Internet,Online Content Discovery & Creation & Distribution Platform,New Delhi,Rainmaker Ventures,Private Equity Round,5000000,nan
1532,13-07-2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Round,,nan
1533,13-07-2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Round,600000,nan
1534,13-07-2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bengaluru,"SAIF Partners, India Quotient",Private Equity Round,1350000,nan
1535,13-07-2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bengaluru,Unitus Seed Fund,Private Equity Round,,nan
1536,13-07-2016,RentoMojo,Consumer Internet,Online Furniture Renting Platform,Bengaluru,"Accel, IDG Ventures India",Private Equity Round,5000000,nan
1537,13-07-2016,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Round,,nan
1538,13-07-2016,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Round,,nan
1539,14-07-2016,Augrav,E-Commerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Round,450000,nan
1540,14-07-2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures",Private Equity Round,1070000,nan
1541,14-07-2016,TransTutors/AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity Round,,nan
1542,15-07-2016,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Round,1000000,nan
1543,15-07-2016,BankerBay,Consumer Internet,Online Investment Banking platform,Bengaluru,Group of investors (undisclosed),Private Equity Round,2000000,nan
1544,15-07-2016,BaggOut,E-Commerce,Women's Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Round,,nan
1545,15-07-2016,TripShelf,E-Commerce,Travel Package Marketplace,New Delhi,GEMS Advisory,Seed Round,250000,nan
1546,15-07-2016,Satvacart,E-Commerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Round,,nan
1547,15-07-2016,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, InnoVen Capital India, Matrix Partners India, Qualcomm Ventures",Private Equity Round,6000000,nan
1548,18-07-2016,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Round,650000,nan
1549,18-07-2016,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Round,650000,nan
1550,18-07-2016,BlueStone,E-Commerce,Jewellery Etailer,Mumbai,"IIFL, Accel, Kalaari Capital, Ivycap Ventures Advisors, RB Investments",Private Equity Round,30000000,nan
1551,18-07-2016,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity Round,,nan
1552,18-07-2016,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Round,,nan
1553,19-07-2016,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity Round,10000000,nan
1554,19-07-2016,Deal4Loans/Wishfin,Consumer Internet,Loans Comparison platform,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity Round,15000000,nan
1555,19-07-2016,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bengaluru,Prime Venture Partners,Private Equity Round,1000000,nan
1556,19-07-2016,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,GHV Accelerator,Seed Round,250000,nan
1557,20-07-2016,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Group of investors (undisclosed),Private Equity Round,1000000,nan
1558,20-07-2016,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Natarajan, Sarath Sura, Shanti Mohan, Sarthak Agarwal, Nihit Agarwal, Suramya Gupta",Seed Round,595000,nan
1559,20-07-2016,iServefinancial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Round,,nan
1560,21-07-2016,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co Ltd,Private Equity Round,1000000,nan
1561,21-07-2016,AbeRuk,E-Commerce,Online Marketplace for books,Bengaluru,Swastika Investmart Ltd,Seed Round,,nan
1562,21-07-2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network (IAN),Seed Round,595000,nan
1563,21-07-2016,Drums Food,Food & Beverages,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",nan,,nan
1564,01-06-2016,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Group of investors (undisclosed),Seed Round,,nan
1565,01-06-2016,BRIDGEi2I,Technology,Data Analytics Platform,Bengaluru,Edelweiss Financial Services,Private Equity Round,,nan
1566,02-06-2016,Droom,E-Commerce,Online marketplace for used automobiles,New Delhi,"BEENEXT, Digital Garage, Lightbox, Beenos",Private Equity Round,,nan
1567,02-06-2016,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Round,,nan
1568,02-06-2016,Atomberg Technologies,Technology,smart & energy efficient home appliance manufacturer,Mumbai,Parampara Capital,Private Equity Round,1000000,nan
1569,02-06-2016,CoutLoot,E-Commerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Round,,nan
1570,02-06-2016,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity Round,1000000,nan
1571,03-06-2016,iCliniq,Consumer Internet,Doctor Consultation platform,Bengaluru,MadhanKumar Madathupalayam,Seed Round,,nan
1572,03-06-2016,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Group of investors (undisclosed),Seed Round,75000,nan
1573,03-06-2016,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity Round,2000000,nan
1574,06-06-2016,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Round,448000,nan
1575,07-06-2016,CueMath,Education Marketplace,K-12 Maths Learning Courses,Bengaluru,"Sequoia India, Unitus Seed Fund",Private Equity Round,4000000,nan
1576,07-06-2016,KrazyBee,Financial Services,Student Micro-Loan platform,Bengaluru,"Yeahmobi, Fenqile",Private Equity Round,2000000,nan
1577,07-06-2016,Intgrea,Technology,Post merger Integration Partners,Bengaluru,Group of investors (undisclosed),Seed Round,100000,nan
1578,07-06-2016,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity Round,23000000,nan
1579,07-06-2016,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity Round,1000000,nan
1580,08-06-2016,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Round,1000000,nan
1581,08-06-2016,ListUp,E-Commerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Round,500000,nan
1582,08-06-2016,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network (IAN),Seed Round,200000,nan
1583,08-06-2016,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Round,,nan
1584,08-06-2016,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bengaluru,"Kunal Shah, Aneesh Reddy, Tracxn, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Round,,nan
1585,08-06-2016,StoreKing,E-Commerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,Axiata Digital,Private Equity Round,16000000,nan
1586,08-06-2016,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Round,,nan
1587,08-06-2016,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Round,200000,nan
1588,09-06-2016,Teabox,E-Commerce,Online Tea Store,Siliguri,Cameron Jones,Seed Round,,nan
1589,09-06-2016,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Round,,nan
1590,09-06-2016,EPayLater,Technology,Financial Tech Platform,Mumbai,High Networth Individuals (undisclosed),Seed Round,2000000,nan
1591,10-06-2016,Kyazoonga,E-Commerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Round,,nan
1592,10-06-2016,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network (IAN)",Private Equity Round,500000,nan
1593,10-06-2016,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Round,,nan
1594,10-06-2016,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Financial Services,Private Equity Round,,nan
1595,10-06-2016,MadRat Games,Technology,Wearable Gaming Platform,Bengaluru,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Round,,nan
1596,11-06-2016,Jazzmyride,E-Commerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity Round,,nan
1597,11-06-2016,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity Round,,nan
1598,11-06-2016,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity Round,,nan
1599,13-06-2016,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Round,,nan
1600,13-06-2016,Bombay Shirt Company,E-Commerce,Online custom Shirt retailer,Mumbai,Group of investors (undisclosed),Private Equity Round,1000000,nan
1601,13-06-2016,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Round,30000,nan
1602,14-06-2016,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Round,,nan
1603,14-06-2016,Bonhomia,Food & Beverages,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital & existing investors,Private Equity Round,,nan
1604,14-06-2016,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Round,,nan
1605,14-06-2016,Jivox,Technology,Data Driven Advertising platform,Bengaluru,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity Round,6000000,nan
1606,14-06-2016,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures, Vaibhav Domkundwar",Seed Round,1000000,nan
1607,14-06-2016,CureJoy,Consumer Internet,Online Alternative health community platform,Bengaluru,Accel,Private Equity Round,4400000,nan
1608,15-06-2016,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network (IAN),Seed Round,450000,nan
1609,15-06-2016,GrabOnRent,E-Commerce,On-demand product rental marketplace,Bengaluru,"Ivycap Ventures Advisors , Unicorn India Ventures",Private Equity Round,,nan
1610,16-06-2016,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity Round,450000,nan
1611,16-06-2016,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity Round,600000,nan
1612,16-06-2016,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bengaluru,Atul Ingle,Seed Round,,nan
1613,16-06-2016,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity Round,,nan
1614,16-06-2016,Voonik,E-Commerce,Online Women's Fashion Marketplace,Bengaluru,Sequoia India,Private Equity Round,20000000,nan
1615,16-06-2016,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Round,,nan
1616,17-06-2016,ClearTax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity Round,12000000,nan
1617,17-06-2016,Silvan Innovation Labs,Technology,Home Automation Solutions,Bengaluru,Infuse Ventures,Private Equity Round,900000,nan
