<<<<<<< HEAD
"startup_name","funds_per_startup"
"Babygogo",300000
"Boxmyspace",300000
"CareOnGo",300000
"ChatOnGo",300000
"DoneThing",300000
"eBikeGo",300000
"ForeverShop",300000
"Glam Studios",300000
"GoBumpr",300000
"Inayo",300000
"Jolly Food Fellow",300000
"Korra",300000
"Locanix",300000
"MCaffeine",300000
"Nayi Disha",300000
"NirogStreet",300000
"PickMyLaundry",300000
"PriceRaja",300000
"RealBox",300000
"Rocketium",300000
"Schoolkart",300000
"SP Robotics",300000
"SpeedBox",300000
"Yumigo",300000
"eQuickies",298000
"Trading Bells",297000
"Wedding Wishlist",297000
"Hello Tax",295000
"Bonphulapl",293000
"Appbase",290000
"Aisle.co",285000
"Near.in",285000
"VTION",280000
"Genius Corner",278000
"RepairEasy",275000
"Tydy",275000
"Venturesity",270000
"Leaf Wearables",266600
"Jobspire",260000
"AppLop",250000
"Clonect Solutions",250000
"Confirmtkt",250000
"Curofy",250000
"Don't Scratch Your Head",250000
"eSahai.in",250000
"Fincash",250000
"Genie",250000
"GetMyPeon",250000
"GoMechanic",250000
"Happy2Refer",250000
"Hippily",250000
"Hitwicket",250000
"Ignis Careers",250000
"Jay Robotix",250000
"Makkajai",250000
"MyPoolin",250000
"NeuroEquilibrium",250000
"Qik Stay",250000
"RainCan",250000
"RedBook",250000
"RedPolka",250000
"Rentickle",250000
"Roadcast",250000
"SmartPocket",250000
"Stylofie",250000
"TheSmartQ",250000
"Trilyo",250000
"Vanity Cube",250000
"Wealthy",250000
"WithMe",250000
"Zwayam",250000
"Trip shelf",246000
"The Office Pass",245000
"New Castle Technologies",243000
"InstaLively.com",240000
"Roder",240000
"TheKarrier",240000
"Neotrade Analytics",235000
"UCLID",235000
"PayMango",234000
"RentOnGo",234000
"Balance App",233000
"Shopholix",233000
"Stratfit",232000
"Kleeto",230000
"Qlivery",230000
"Tazzo Bikes",227000
"ExtraCarbon",225000
"NatureNama",225000
"PaisaDukan",225000
"PinkBlue",223608
"Campus Diaries",220000
"Edu4Share",220000
"My Forex Eye",220000
"Chai Thela",218000
"Fabulyst",215000
"The Uolo",210000
"Genextstudents",209000
"6Degree",200000
"Azah",200000
"Brick2Wall",200000
"BuildTraders",200000
"Cabsguru",200000
"Capzest",200000
"CBREX",200000
"Comarete",200000
"Commut",200000
"Corporate360",200000
"EasyRoads",200000
"Entropika",200000
"HWell24 Plus",200000
"infeedo",200000
"Kanhaiya",200000
"LetReach",200000
"Living Local",200000
"MyIndianStay",200000
"MySeniorDoctor",200000
"Octo.ai",200000
"Orobind",200000
"Pramati",200000
"QikShip",200000
"Rupaiya Exchange",200000
"ShabdaNagari",200000
"Smytten",200000
"SolarTown",200000
"ThinkerBell",200000
"Vahanalytics",200000
"wWhere",200000
"Haqdarshak",191000
"Zify",190000
"Rootefy",187000
"19th mile",180000
"BeaconsTalk",180000
"CollateBox",180000
"FleetRover",180000
"kidovators",180000
"Promon",180000
"Zuver",180000
"MachaDalo",175000
"MEngage",175000
"Snackible",175000
"MadRat Games",168000
"Noodle Play",168000
"Digital Gorkha",166000
"The Better India",166000
"Changer Mints",165000
"Pricejugaad",165000
"Vegetall",162000
"Cubito",160000
"Infurnia",160000
"Qriyo",160000
"Roll Mafia",160000
"Sampurnearth",160000
"Sayfix",160000
"LabsAdvisor",156000
"IOTrek",155000
"Jhakaas",155000
"360Ride",150000
"3Dexter",150000
"Anandakanda",150000
"BookMyBai",150000
"Briston Technomach",150000
"Clapsnslaps",150000
"Corseco",150000
"CureInstant",150000
"Didi",150000
"EasyEcom",150000
"Fitraq",150000
"Flocareer",150000
"Ftcash",150000
"GrandOpinion",150000
"Horntell",150000
"Hotify",150000
"IndigoLearn",150000
"Indofash",150000
"LabStreet",150000
"LaundryAnna",150000
"Leaping Caravan",150000
"Life Circle",150000
"Medd",150000
"Mihuru",150000
"oibanit",150000
"Omnify",150000
"OnlineRTI",150000
"Onspoon",150000
"OUWT",150000
"PlanMyMedicalTrip",150000
"Pocketin",150000
"Proximit",150000
"Qacco",150000
"Rock N Shop",150000
"SIFTR Labs",150000
"Skoov.com",150000
"SpiderG",150000
"Sportobuddy",150000
"Summerlabel",150000
"Syona Cosmetics",150000
"TapChief",150000
"iAugmentor Labs",149000
"PetSutra",148434
"KabadiExpress",148000
"Awesummly",147000
"Ezytruk",147000
"Noddapp",147000
"Pictor Imaging",147000
"Freedom Smart Labs",145000
"Prescribez",145000
"WizCounsel",145000
"Nagpur Wholesale",143000
"couponmachine.in",140000
"Teritree",140000
"GoDesi",138995
"Gympik",135000
"LiftO",130000
"ActOnMagic",125000
"Digiconectt",125000
"LafaLafa",125000
"CashFree",120000
"Cupick",120000
"ZiffyHomes",120000
"Park Easy",118000
"Yogurt Labs",115000
"Enakshi",114811
"Tooler",110000
"Liftiee",108000
"Intuit Things",106000
"DayBox",104000
"AdUrCup",100000
"Advenio",100000
"Applop",100000
"Arcatron Mobility",100000
"Bahiyajobs",100000
"Blubox",100000
"CaRPM",100000
"Chargein",100000
"Coolshare",100000
"Cyclops Medtech",100000
"EasyKhaana",100000
"Endless Robotics",100000
"First Eat",100000
"FitMeIn",100000
"Frapperz",100000
"Gomalon",100000
"Gridle",100000
"Holidify",100000
"Interviewpad",100000
"Intgrea",100000
"iStyleYou",100000
"Kloseby",100000
"MealHopper",100000
"Medidaili",100000
"Medikoe",100000
"MergerWare",100000
"MyChild App",100000
"NewsDistill",100000
"Notesgen",100000
"Omnikart",100000
"Pindropmusic",100000
"PurpleHealth",100000
"RayIOT",100000
"Rentomo",100000
"RoadGods",100000
"SERV'D",100000
"SooperMO",100000
"Talkoot",100000
"Termsheet",100000
"TOFlo",100000
"Urjas",100000
"Velmenni",100000
"Volta Motors",100000
"Zappka",100000
"Johari Shop",94000
"Bats on delivery",90000
"Hoppingo",89000
"American Vision",81000
"eSadar",80000
"Kuants",80000
"Happitoo",77000
"Zeppery",77000
"GoGo Truck",75000
"Zebroads",75000
"HealthKumbh",73000
"Funcart",70000
"Stockroom.io",70000
"FabX",68000
"DawaiLelo",52000
"AskMyGift",50000
"Curie Labs",50000
"Drivify",50000
"GoYaNo",50000
"MessaGif",50000
"Project Mudra",50000
"TrendieApp",50000
"VivoCarat",50000
"Kriger Campus",46140
"Gyaanzone",45000
"Medzin",45000
"Blood n Care",40000
"EduRev",40000
"imedilane",40000
"Leopetra",40000
"Moodoo",40000
"Wefly Indoor Skydiving",40000
"ERA",39000
"StyleDotMe",37000
"Stridalyzer",30768
"Book Servicing",30000
"goSporty",30000
"Matrubharti",30000
"Perfumery",30000
"Woodpie",30000
"VST Travels",27000
"Newspatrolling",25000
"Cloudrino",22500
"Gamooz",22500
"MaaxMarket",22500
"SoundSurround",22500
"Strike",22500
"33Coupons",20000
"Maptags",18000
"Chloroplast Foods",16600
"CleverSharks",16600
"Dealwithus",16600
"Faaya",16600
"InstaBounce",16600
"CBS",16000
"Enabli",16000
"Hostel Dunia",16000
"Play Your Sport",16000
"Yo Grad",16000
=======
"startup_name","funds_per_startup"
"Flipkart",4759700000
"Rapido",3900751230
"Paytm",3148950000
"Ola Cabs",2054200000
"Oyo",997000000
"Udaan",870000000
"Snapdeal",700000000
"True North Co",600000000
"BYJU'S",525000000
"BigBasket",512000000
"GOQii",463400000
"Zomato",435000000
"Policybazaar",344700000
"Automation Anywhere",300000000
"Lenskart.com",296650000
"Vogo Automotive Pvt. Ltd.",286584000
"Swiggy",270500000
"Edelweiss Financial Services",270000000
"BlackBuck",268380000
"Grofers",262000000
"CarDekho",250000000
"Zilingo",235900000
"Quikr",230000000
"Digital Mall Asia",220000000
"Delhivery",215000000
"Nykaa",214000000
"Foodpanda",210000000
"ShopClues",207700000
"Epiq Capital",200000000
"Furtados School of Music",200000000
"Paytm Marketplace",200000000
"MakeMyTrip",190000000
"Meesho",189600000
"Hike Messenger",175000000
"Practo",175000000
"Curefit",173200000
"Pepperfry",169700000
"Ecom Express",167000000
"Lendingkart",156900000
"Freshworks",150000000
"CarTrade",145000000
"Alteria Capital",140000000
"FreshVnF",140000000
"Rivigo",140000000
"FreeCharge",137000000
"Clumio",135000000
"MobiKwik",121600000
"Pine Labs",120080000
"Gaana.com",115000000
"UrbanClap",110700000
"Tala",110000000
"Freshdesk",105000000
"PhonePe",104700000
"Book My Show",100000000
"Dream11",100000000
"Five Star Group",100000000
"Fractal Analytics",100000000
"Inmobi",100000000
"Saavn",100000000
"Shape",100000000
"Netmeds.com",99000000
"Uniphore",97880000
"Ather Energy",90000000
"Icertis",90000000
"YepMe",88700000
"BookMyShow",82000000
"Urban Ladder",80200000
"Dhruva",80000000
"Moglix",76200000
"Chillr",76000000
"BharatPe",75000000
"BillDesk",75000000
"Meru Cabs",75000000
"Ace2three",73700000
"Naaptol",73500000
"Aye Finance",71451265
"NoBroker",71400000
"HomeLane",67950000
"BankBazaar",67000000
"Mswipe",66000000
"Zenoti",65000000
"Capital Float",64800000
"Portea",63500000
"Infogain",63000000
"NeoGrowth Credit",63000000
"Cars24",60700000
"Greenlight Planet",60000000
"Manthan",60000000
"MedGenome",60000000
"Coverfox",58600000
"Dunzo",57950000
"Power2SME",57000000
"Faaso's",56300000
"Antuit",56000000
"Markets and Markets",56000000
"Cartrade",55000000
"Qubole",55000000
"Varthana",55000000
"Craftsvilla",54443495
"Biz2Credit",52000000
"Druva",51000000
"BrowserStack",50000000
"Dhruva Space",50000000
"Goomo",50000000
"HighRadius",50000000
"RateGain",50000000
"Rein Games",50000000
"Yupp TV",50000000
"Zovi.com/Little App",50000000
"Ofbusiness",48900000
"InCred Finance",47900000
"Smaaash",47800000
"BlueStone",46200000
"1mg",46000000
"Kuvera",45250000
"Capillary Tech",45000000
"Digit",45000000
"Zo Rooms",45000000
"NestAway",44050000
"Shuttl",44048394
"Licious",44000000
"Furlenco",42200000
"Ezetap",41000000
"Applied Solar Technologies",40000000
"Healthcare at Home",40000000
"NewsHunt",40000000
"Peppertap",40000000
"ShopX",40000000
"Treebo",40000000
"Vistaar Finance",40000000
"Zivame",40000000
"Zoomcar",40000000
"MindTickle",39500000
"Droom",39000000
"True Balance",38000000
"FabHotels",37889975.54
"Puro Wellness",37000000
"Zendrive",37000000
"Roposo",36700000
"Sahajanand Medical Technologies",36230000
"FirstCry",36000000
"Simplilearn",35750000
"Amagi Media Labs",35000000
"E-Commerce",35000000
"EPS",35000000
"Saama",35000000
"TicketNew",35000000
"Ninjacart",34500000
"Voonik",34000000
"FreshMenu",33500000
"Stayzilla",33500000
"Veritas Finance Ltd.",32499000
"AutoGrid",32000000
"Kissht",32000000
"MSE",32000000
"Dailyhunt",31390000
"CCAvenue",31300000
"Aavishkaar-Intellecap Group",31000000
"Caratlane.com",31000000
"Medwell Ventures",31000000
"pi Ventures",31000000
"Axtria",30000000
"CredR",30000000
"deGustibus",30000000
"GreyOrange",30000000
"LimeRoad.com",30000000
"Paper Boat",30000000
"TravelTriangle",30000000
"RenewBuy",29700000
"Engineer.ai",29500000
"Razorpay",29120000
"Toppr",28620820
"Square Yards",28000000
"Sulekha.com",28000000
"Healthians",27000000
"Nazara Technologies",27000000
"S Chand",27000000
"Housejoy",26500000
"ZestMoney",26400000
"Avail Finance",26200000
"Chakr Innovation",26000000
"CleverTap",26000000
"Jugnoo",26000000
"Recykal",26000000
"Bizongo",25000000
"Citrus Payment",25000000
"HealthifyMe",25000000
"Hungama",25000000
"IFMR Holdings",25000000
"Sigtuple",24800000
"KrazyBee",24342000
"Hopscotch",24000000
"ShareChat",23550000
"PharmEasy",23500000
"Samunnati",23500000
"TinyOwl",23500000
"Innoviti",23350000
"Koovs",23300000
"PaySense",23300000
"Revv",23270000
"Annapurna Finance",23000000
"Chargebee",23000000
"HelpShift",23000000
"Livspace",23000000
"Pi Data Centers",23000000
"Tata Housing",23000000
"MamaEarth",22358860
"Flytxt",22000000
"Vyome Therapeutics Inc.",22000000
"EarlySalary",21980000
"Asia Institute Of Medical Science",21000000
"Roadrunnr",21000000
"Tynor Othontics",21000000
"Allygrow Technologies",20000000
"Awfis",20000000
"Capillary",20000000
"GoJavas",20000000
"Groupon India",20000000
"Housing.com",20000000
"Just Buy Live",20000000
"Knowlarity",20000000
"MebelKart",20000000
"NDTV Wedding portal",20000000
"Newgen Software",20000000
"News in shorts",20000000
"Zopper",20000000
"AppsDaily",19750000
"iGenetics",19500000
"Spandana Sphoorty",19500000
"Pratilipi",19409500
"Loylty Rewards",19350000
"Shadowfax",19310000
"CueMath",19000000
"Zeta",19000000
"Appario Retail Pvt Ltd.",18840000
"NearBuy (previously groupon India)",18500000
"75F",18000000
"Culture Machine",18000000
"InnoNano Research",18000000
"Unacademy",17807000
"Magicpin",17600000
"Simility",17500000
"Black Soil",17000000
"Medlife",17000000
"RentoMojo",17000000
"Tonbo Imaging",17000000
"Vyomo",17000000
"Bidgely",16600000
"Transerve",16600000
"Itzcash",16500000
"Zefo",16250000
"Akosha",16000000
"Aryaka",16000000
"Ezyhaul",16000000
"La Renon",16000000
"LEAP India",16000000
"Rentalpha",16000000
"StoreKing",16000000
"Medikabazaar",15800000
"Bira91",15600000
"Innovaccer",15600000
"OkCredit",15500000
"Yatra.com",15400000
"ClearTax",15300000
"Infibeam",15030000
"Arkin Net",15000000
"Better Mortgage",15000000
"Deal4Loans/Wishfin",15000000
"Drip capital",15000000
"Fintellix",15000000
"Flexiloans",15000000
"HolidayIQ",15000000
"Indix",15000000
"INDwealth",15000000
"Ixigo",15000000
"Mahindra First Choice",15000000
"MoonFrog Labs",15000000
"TaskBucks",15000000
"Universal Sportsbiz Pvt. Ltd",15000000
"Vedantu",15000000
"Voylla",15000000
"Vserv",15000000
"Yuvi Hospitality",15000000
"TruckingCube",14900000
"Alpha Capital",14800000
"Indus OS",14750000
"Chumbak",14700000
"Agrostar",14000000
"Kartrocket",14000000
"Stellapps",14000000
"eShakti",13750000
"Glowroad",13500000
"IMAX Program",13500000
"NxtGen",13500000
"Tracxn",13500000
"ZenDrive",13500000
"LetsTransport",13300000
"LoanTap",13250000
"IndustryBuying",13000000
"Teabox",13000000
"Wooplr",13000000
"MoneyOnMobile",12600000
"Grabhouse",12500000
"Unbxd",12500000
"Xpressbees",12500000
"MoneyTap",12300000
"SirionLabs",12250000
"Easypolicy",12200000
"Metro Bikes",12200000
"Acko",12000000
"Box8",12000000
"HealthKart",12000000
"Robosoft",12000000
"Seclore",12000000
"Milkbasket",11800000
"Active.ai",11750000
"Fingerlix",11310000
"MyGlamm",11300000
"Springboard",11200000
"Big Fish Ventures",11100000
"Atomberg Technologies",11000000
"CupoNation",11000000
"FundsIndia.com",11000000
"Origo Commodities India Pvt. Ltd",11000000
"Raw Pressery",10800000
"POPxo.com",10600000
"Lybrate",10200000
"CreditMantri",10100000
"#Fame",10000000
"4tigo",10000000
"Arohan Financial Services",10000000
"Attune Technologies",10000000
"Babajobs",10000000
"Belong",10000000
"Chai Point",10000000
"CoinTribe",10000000
"Drivezy",10000000
"EduPristine",10000000
"GoFro",10000000
"Holisol Logistics",10000000
"IdeaForge",10000000
"IDG Ventures India",10000000
"Indifi",10000000
"LogiNext",10000000
"Mamagoto",10000000
"MySmartPrice",10000000
"NowFloats",10000000
"NumberMall",10000000
"PepperTap",10000000
"Sagacito",10000000
"Smartairtrip.com",10000000
"Specsmakers",10000000
"SportzVillage",10000000
"The Viral Fever",10000000
"Travelyaari",10000000
"Trucksfirst",10000000
"Xseed Education",10000000
"Zapr",10000000
"ZopNow",10000000
"WickedRide",9890000
"Ad2pro",9700000
"Wizrocket",9600000
"Mobikon",9300000
"HungerBox",9090000
"Clovia",9000000
"ElasticRun",9000000
"Pando",9000000
"QikPod",9000000
"Tonetag",9000000
"EazyDiner",8850000
"Holachef",8686200
"Truebil",8650000
"Fusion Microfinance",8600000
"Rao IIT Academy",8600000
"Jumbotail",8500000
"DocsApp",8400000
"MyDentistChoice",8350000
"Opinio",8300000
"Eruditus",8200000
"Grover Zampa",8200000
"Cloud Lending",8000000
"Farm Taaza",8000000
"Observe AI",8000000
"Postman",8000000
"Cube26",7700000
"WeAreHolidays",7700000
"TalentEdge",7600000
"Collectabillia",7500000
"Flutura",7500000
"HackerRank",7500000
"OneAssist",7500000
"Samco",7500000
"StyleTag",7500000
"Zarget",7500000
"Axio",7400000
"SnapBizz",7200000
"Cloudcherry Analytics",7000000
"CustomFurnish",7000000
"Fintobox",7000000
"Flyrobe",7000000
"Runnr",7000000
"Samosa Labs",7000000
"StalkBuyLove",7000000
"Cashe",6900000
"Rupeek",6830000
"KredX",6750000
"Villgro",6750000
"Mihup",6700000
"Oho Shop",6700000
"Wow Express",6700000
"Purplle.com",6537000
"Aasaanjobs",6500000
"Avanti Learning",6500000
"Canvera",6500000
"CultureAlley",6500000
"LatestOne",6350000
"Call Health",6200000
"Gadgetwood",6200000
"Perfios",6100000
"B9 Beverages",6000000
"Chefs Basket",6000000
"Connect India",6000000
"Digital F5",6000000
"Ecozen",6000000
"Finova Capital",6000000
"ISFC",6000000
"Jivox",6000000
"LegalRaasta",6000000
"ManageMySpa",6000000
"Mech Mocha",6000000
"OncoStem",6000000
"PrettySecrets",6000000
"Ridlr",6000000
"SaveBC",6000000
"Schedulers Logistics",6000000
"Synup",6000000
"The Porter",6000000
"Transversal Technologies",6000000
"Veeba Foods",6000000
"Welcome Cure",6000000
"Zinka",6000000
"iNurture",5900000
"Lookup",5880000
"Juspay",5800000
"Shubh Loans",5700000
"Taskbob",5700000
"Patel Logistics",5600000
"PrimaryIO",5600000
"Tripoto",5591375
"CureJoy",5550000
"Crownit",5500000
"Goodera",5500000
"TrulyMadly.com",5500000
"Justride",5400000
"Hansel.io",5350000
"MyUpchar",5300000
"GreytHR",5200000
"Insider.in",5200000
"Julia Computing",5200000
"MyGubbi",5200000
"Wassup",5200000
"3rdFlix",5000000
"Ace Turtle",5000000
"Alef Mobitech",5000000
"Ameyo",5000000
"Bona Vita",5000000
"Casa2inns",5000000
"CollegeDekho",5000000
"Commonfloor",5000000
"CoveIoT",5000000
"Credit Vidya",5000000
"DiabetOmics",5000000
"DocTalk",5000000
"Drivestream",5000000
"elong",5000000
"Gozoomo",5000000
"Hansa Customer Equity",5000000
"Healthsignz",5000000
"HomeStudio",5000000
"Hotelogix",5000000
"HUG Innovations",5000000
"Increff",5000000
"IndiaLends",5000000
"IndianRoots.com",5000000
"Infoworks",5000000
"Inshorts",5000000
"Intelligence Node",5000000
"Jaypore",5000000
"Kinara Capital",5000000
"Liases Foras",5000000
"LocalOye",5000000
"Melorra",5000000
"Mystifly",5000000
"Parcelled",5000000
"Pokkt",5000000
"Progcap",5000000
"Samunnati Financial Intermediation & Services Pvt. Ltd",5000000
"SastaSundar",5000000
"Securens",5000000
"Shop 101",5000000
"Shotang.com",5000000
"Stashfin",5000000
"Stasis Labs",5000000
"Tagos Design",5000000
"Upwards",5000000
"Vyapar App",5000000
"Vymo",5000000
"YAAP",5000000
"Zolo",5000000
"Network Intelligence",4800000
"Capricoast",4750000
"FastFox",4600000
"Fisdom",4600000
"Whatfix",4590000
"Easy Diner",4500000
"Emiza",4500000
"FPL Technologies",4500000
"Grow Fit",4500000
"HackerEarth",4500000
"iCustomMadeIt",4500000
"Iqlect",4500000
"MagicBricks",4500000
"Printvenue",4500000
"Get My Parking",4476000
"Care24",4350000
"InnerChef",4250000
"MoEngage",4250000
"KOOH Sports",4200000
"mfine",4200000
"UE LifeSciences",4200000
"InShorts",4150000
"Roambee",4100000
"Altizone",4000000
"Anchanto",4000000
"Buildzar",4000000
"DarwinBox",4000000
"DriveU",4000000
"HipBar",4000000
"IMbesharam",4000000
"Innov8",4000000
"Inthree",4000000
"Lets Transport",4000000
"medECUBE",4000000
"Meritnation",4000000
"OptaCredit",4000000
"Pastiwala",4000000
"PlaySimple",4000000
"Reverie",4000000
"RevX",4000000
"RKSV",4000000
"RML Agtech",4000000
"ScoopWhoop",4000000
"V Resorts",4000000
"Vayana",4000000
"Foyr.com",3800000
"Cash Suvidha",3700000
"Cashkaro",3700000
"Goodbox",3700000
"Airpay",3670000
"Blowhorn",3650000
"ZipLoan",3650000
"OpenApp",3600000
"Scootsy",3600000
"Slide App",3600000
"TinyStep",3580000
"Affordplan",3500000
"BuildSupply",3500000
"Collateral Medical",3500000
"Doctor Insta",3500000
"Eat.Shop.Love",3500000
"FarEye",3500000
"Setu",3500000
"Trak N Tell",3500000
"Fynd",3400000
"Leegality",3400000
"Signzy",3400000
"Timesaverz",3400000
"Cashflo",3300000
"Quintype",3300000
"Trell",3250000
"AEON Learning",3200000
"Smartivity",3200000
"BigStylist",3150000
"Healthi",3100000
"The Label Life",3100000
"TruxApp",3100000
"Yaantra",3100000
"Zappfresh",3077000
"Autorox.co",3000000
"Bestdealfinance",3000000
"Bonhomia",3000000
"Buddy4studdy",3000000
"Chaayos",3000000
"CREO",3000000
"Cult",3000000
"DailyNinja",3000000
"Doormint",3000000
"FarmLink",3000000
"Fitternity",3000000
"Fracktal Works",3000000
"Grab.in",3000000
"Heads Up For Tails",3000000
"HeyPillow",3000000
"Inuxu",3000000
"Jigsaw Academy",3000000
"Lets Corp",3000000
"Littlemore",3000000
"My Healthcare",3000000
"MyCity4kids",3000000
"MyNoticePeriod",3000000
"Narvar",3000000
"NetLinx",3000000
"Nimble Wireless",3000000
"Omnia Information",3000000
"Oriano Solar",3000000
"Overcart.com",3000000
"Pocket Aces",3000000
"Propstack",3000000
"quizizz",3000000
"Rubique",3000000
"SchoolGuru",3000000
"Telr",3000000
"Triphobo",3000000
"TYGR",3000000
"wealthbucket.in",3000000
"Whoop",3000000
"Wudstay",3000000
"YourStory",3000000
"Yumist",3000000
"AgentDesks",2950000
"Bombay Shaving Company",2900000
"Graphic India",2800000
"Kaleidofin",2800000
"Locus",2750000
"Sistema.bio",2739034.68
"Dil Mil",2700000
"Heckyl",2700000
"WayCool",2700000
"Doxper",2650000
"Ecolibriumenergy",2600000
"Renderlogy",2600000
"Sheroes",2570000
"Agara Labs",2500000
"Atlan",2500000
"Celes Care",2500000
"Crowdfire (formerly Justunfollow)",2500000
"Disprz",2500000
"EduBridge",2500000
"Flatchat",2500000
"HealthAssure",2500000
"Kinsane Entertainment Inc",2500000
"MySUN",2500000
"Paynear",2500000
"Red Carpet",2500000
"Sambandh",2500000
"Scripbox",2500000
"Tokri",2500000
"FR8",2471000
"Pragmatix",2400000
"trueHb",2400000
"Vidooly",2400000
"Zimmber",2400000
"Mobiefit",2350000
"Finzy",2300000
"iBus Networks",2300000
"Room On Call",2300000
"Crofarm",2283000
"Fabogo",2250000
"Juggernaut",2250000
"Loan Frame",2250000
"BHIVE Workspace",2200000
"InstaSafe",2200000
"PressPlay TV",2200000
"Vahdam Teas",2150000
"HealthyBillions",2100000
"SquadRun",2100000
"Wellthy",2100000
"Aahaa Stores",2000000
"Aashiyaan",2000000
"AppDaily",2000000
"BankerBay",2000000
"Bluebirch",2000000
"CropIn",2000000
"Edureka",2000000
"enKast",2000000
"EPayLater",2000000
"FabAlley",2000000
"Fitpass",2000000
"Fourth Partner Energy",2000000
"Fresh Food Concepts",2000000
"Fxkart.com",2000000
"Gingercrush",2000000
"Godof Hospitals",2000000
"GoldFarm",2000000
"HandyTrain",2000000
"IIM Jobs",2000000
"India Gifts Portal",2000000
"Innefu Security Consulting",2000000
"MarianaIQ",2000000
"mintifi",2000000
"Niki.ai",2000000
"Pee Safe",2000000
"Plancess",2000000
"PortDesk",2000000
"Prothom",2000000
"RoomCentral",2000000
"Shopalyst",2000000
"ShopKirana",2000000
"Slice Pay",2000000
"SmartCoin",2000000
"Stanza Living",2000000
"TruckMandi",2000000
"Uniken",2000000
"UrbanPro",2000000
"Vyome Biosciences",2000000
"Weddingz.in",2000000
"WholeSaleBox",2000000
"ZapStitch",2000000
"ZuperMeal",2000000
"eKincare",1991000
"Tapzo",1930000
"Sumeru",1900000
"The Ken",1900000
"Fashor",1800000
"HeadOut",1800000
"I Can Stay",1800000
"Sahayog Dairy",1800000
"Satvacart",1800000
"PickMe",1790000
"Faircent",1750000
"Teewe",1750000
"Caravan Craft",1700000
"Elucidata",1700000
"Touchkin",1700000
"Supr Daily",1620000
"Goodservice",1600000
"MyPetrolPump",1600000
"MyTaxiIndia",1600000
"Pipa Bella",1600000
"QuikWallet",1600000
"The Wedding Brigade",1600000
"WOW! MOMO",1600000
"YourDOST",1600000
"Applicate",1550000
"Zenify.in",1540000
"White Owl Brewery",1530000
"9Stacks",1500000
"ABI Health",1500000
"Address Health",1500000
"Betaout",1500000
"Credihealth",1500000
"Fyle Technologies",1500000
"GoPigeon",1500000
"Hello Curry",1500000
"HousingMan",1500000
"Howdy Ventures",1500000
"Innovapptive",1500000
"iStar Skill Development",1500000
"Mad Street Den",1500000
"MFine",1500000
"Multiplier Solutions",1500000
"MyCFO",1500000
"Petoo",1500000
"RoomsTonite",1500000
"SaleBhai",1500000
"SchoolWear",1500000
"Sunstone Eduversity Pvt. Ltd",1500000
"Team Indus",1500000
"Toffee",1500000
"Unocoin",1500000
"Velvetcase",1500000
"Baxi",1450000
"VoxWeb",1450000
"Absentia",1430000
"Silvan Innovation Labs",1415000
"Airmed Labs",1400000
"Credy",1400000
"DailyObjects",1400000
"Ketto",1400000
"Parallel Dots",1400000
"RentSher",1400000
"Systemantics",1400000
"UrDoorStep",1400000
"Biryani By Kilo",1375000
"Zenatix",1361000
"mPaani",1350000
"Credright",1300000
"Pickingo",1300000
"SuperGaming",1300000
"Slang Labs",1240000
"Affimity",1200000
"Ampere Vehicles",1200000
"CanvasFlip",1200000
"Convegenius",1200000
"Dekkho",1200000
"Juno Clinic",1200000
"MapMyGenome",1200000
"MeraDoctor",1200000
"Momoe",1200000
"Noticeboard",1200000
"SidQam",1200000
"SilverPush",1200000
"Swajal",1200000
"Little Black Book",1150000
"3HCare",1100000
"Entropik",1100000
"Front Desk AI",1100000
"Groww",1100000
"Guiddoo",1100000
"Livehealth",1100000
"ORIGA Leasing",1100000
"PipeCandy",1100000
"Rare Media",1100000
"StanPlus",1100000
"TempoGo",1075000
"ShoppinPal",1070000
"i2iFunding",1068000
"Planys Technologies",1040000
"20Dresses",1000000
"A&R Bon Vivants",1000000
"Aadyah",1000000
"AdmitKard",1000000
"AdWyze",1000000
"Adytude",1000000
"Aequm",1000000
"Appedo",1000000
"Appie",1000000
"Baby Berry",1000000
"Billion Loans",1000000
"Bombay Shirt Company",1000000
"BroEx",1000000
"BuyHatke",1000000
"Clip App",1000000
"Co Life",1000000
"Commeasure",1000000
"CreditVidya",1000000
"CustomerSucessBox",1000000
"Data Resolve",1000000
"EduAce Services",1000000
"EduKart",1000000
"Eywa Media",1000000
"EzCred",1000000
"FlipClass",1000000
"Frsh",1000000
"Glamrs",1000000
"Goalwise",1000000
"GolfLAN",1000000
"GramCover",1000000
"Gramophone",1000000
"Grey Campus",1000000
"GreyAtom",1000000
"Happy EMI",1000000
"HashTaag",1000000
"HealthCare",1000000
"Hevo Data",1000000
"Homergize",1000000
"House of Masaba",1000000
"HyperVerge",1000000
"i3sysytems",1000000
"iGrenEnergi",1000000
"Imarticus Learning",1000000
"Inkmonk",1000000
"Instacar",1000000
"iTraveller.com",1000000
"Joy by nature",1000000
"KeepTrax",1000000
"Kulzy",1000000
"LetsMD",1000000
"Limo",1000000
"MagicX",1000000
"Mazkara",1000000
"MeetUniv",1000000
"My OmNamo",1000000
"Myelin Foundry",1000000
"MyGreens",1000000
"MyKindofJob",1000000
"NeoStencil",1000000
"NiYO Solutions",1000000
"Notion Press",1000000
"Nukkad Shops",1000000
"OrangeTwig",1000000
"Pitstop",1000000
"Pluss",1000000
"Qyk App",1000000
"RedDoorz",1000000
"ReGlobe",1000000
"Remitr",1000000
"Rubix",1000000
